id,city08U,co2TailpipeGpm,comb08U,cylinders,displ,drive,fuelCost08,fuelType,ghgScore,highway08U,make,model,automatictransmission,VClass,year,tCharger,sCharger,atvType,mfrCode,startStop
42618,14.7945,525,16.8511,8,6.2,2,3100,Premium,3,20.3003,Chevrolet,Suburban 2WD,1,Standard Sport Utility Vehicle 2WD,2021,0,0,Gas,GMX,1
42619,16.4046,492,18,8,5.3,2,2400,Regular,3,20,Chevrolet,Tahoe 2WD,1,Standard Sport Utility Vehicle 2WD,2021,0,0,Gas,GMX,1
42620,16.4046,492,18,8,5.3,2,2400,Regular,3,20,Chevrolet,Suburban 2WD,1,Standard Sport Utility Vehicle 2WD,2021,0,0,Gas,GMX,1
42621,14.7945,525,16.8511,8,6.2,2,3100,Premium,3,20.3003,GMC,Yukon 2WD,1,Standard Sport Utility Vehicle 2WD,2021,0,0,Gas,GMX,1
42622,14.3297,539,16.4083,8,6.2,2,3300,Premium,2,19.9442,GMC,Yukon XL 2WD,1,Standard Sport Utility Vehicle 2WD,2021,0,0,Gas,GMX,1
42623,16.4046,492,18,8,5.3,2,2400,Regular,3,20,GMC,Yukon 2WD,1,Standard Sport Utility Vehicle 2WD,2021,0,0,Gas,GMX,1
42624,16.4046,492,18,8,5.3,2,2400,Regular,3,20,GMC,Yukon XL 2WD,1,Standard Sport Utility Vehicle 2WD,2021,0,0,Gas,GMX,1
42625,13.9808,558,15.8543,8,6.2,4,3300,Premium,2,18.9595,Cadillac,Escalade 4WD,1,Standard Sport Utility Vehicle 4WD,2021,0,0,Gas,GMX,1
42626,13.9808,558,15.8543,8,6.2,4,3300,Premium,2,18.9595,Chevrolet,Tahoe 4WD,1,Standard Sport Utility Vehicle 4WD,2021,0,0,Gas,GMX,1
42627,13.9808,558,15.8543,8,6.2,4,3300,Premium,2,18.9595,Chevrolet,Suburban 4WD,1,Standard Sport Utility Vehicle 4WD,2021,0,0,Gas,GMX,1
42628,15.8782,496,17.8928,8,5.3,4,2400,Regular,3,20,Chevrolet,Tahoe 4WD,1,Standard Sport Utility Vehicle 4WD,2021,0,0,Gas,GMX,1
42629,15.3488,515,17.2192,8,5.3,4,2550,Regular,3,19,Chevrolet,Suburban 4WD,1,Standard Sport Utility Vehicle 4WD,2021,0,0,Gas,GMX,1
42630,13.9808,558,15.8543,8,6.2,4,3300,Premium,2,18.9595,GMC,Yukon XL 4WD,1,Standard Sport Utility Vehicle 4WD,2021,0,0,Gas,GMX,1
42631,13.9808,558,15.8543,8,6.2,4,3300,Premium,2,18.9595,GMC,Yukon 4WD,1,Standard Sport Utility Vehicle 4WD,2021,0,0,Gas,GMX,1
42632,15.3488,515,17.2192,8,5.3,4,2550,Regular,3,19,GMC,Yukon XL 4WD,1,Standard Sport Utility Vehicle 4WD,2021,0,0,Gas,GMX,1
42633,15.8782,496,17.8928,8,5.3,4,2400,Regular,3,20,GMC,Yukon 4WD,1,Standard Sport Utility Vehicle 4WD,2021,0,0,Gas,GMX,1
42635,28.5494,277,32.0934,4,1.6,2,1350,Regular,7,37.8335,Kia,K5,1,Large Cars,2021,1,0,Gas,KMX,1
42636,26.839,291,30.7272,4,1.6,2,1400,Regular,7,37.3384,Kia,K5,1,Large Cars,2021,1,0,Gas,KMX,0
42637,32.2,329,36.987,4,1.4,2,1600,Regular,6,45.2,Buick,Encore FWD,1,Small Sport Utility Vehicle 2WD,2021,1,0,Gas,GMX,0
